,IBC
0,0.9713541666666666
1,0.91875
2,0.8924162257495591
3,0.8845994188459944
4,0.9562289562289563
5,0.8899248899248899
6,0.9262222712724864
7,0.9232147122044424
8,0.9135537988051414
9,0.8851845693382109
10,0.9243128964059197
11,0.9552083333333333
12,0.9748563218390804
13,0.9119402985074627
14,0.8999447208402432
15,0.9739077669902912
16,0.9770114942528736
17,0.9741379310344828
18,0.8686594202898551
19,0.8435483870967742
20,0.9594155844155844
21,0.9623015873015873
22,0.9345744680851064
23,0.9409620991253644
24,0.9138888888888889
25,0.9557544757033247
26,0.9383715699505173
